ID,description,Label,Project Name,Created At,Seconds to Label,External ID,name
cjjr52ozm3dw7079477fqgfq7,Listing for 25 pills Fast shipping,0,cti,1.53E+12,3.381,1451601062,25X2mg pressed xanax bars
cjjovhc68bgvp0799yrvb1x2u,This is for 25 xanax pills Fast shipping,0,cti,1.53E+12,1.88,1451601062,25X 2mg pressed xanax bars
cjjr52n480zib0796fsvv3xc1,custom listing for AW,1,cti,1.53E+12,1.505,1451586870,60k forum users emails
cjjr52l870zhf07967qoq2uds,sample,1,cti,1.53E+12,3.515,1451601062,custom listing
cjjr52iod3duq07949fdk6f46,VALID and REAL code signing with this method you can get an unlimited amount of valid real code signing certificates for the cost of 1 each CA is comodo,1,cti,1.53E+12,5.518,1451601062,VALID and REAL code signing certificates
cjjr52eix3dtv0794i6v8acfy,1 100 000 FTP and SSH accounts address user password Sniffed from botnets Some crazy companies and websites listed,1,cti,1.53E+12,2.441,1451601062,1 100 000 FTP and SSH account
cjjr52d6x0zf60796h2eq1bnn,50k of ssh server user passwords A little old but loads are still good,1,cti,1.53E+12,0.924,1451601062,SSH sniffer logs 50k
cjjr52d5w3dte0794gjul53of,24 Hours DDoS Service take out any target,1,cti,1.53E+12,1.183,1451601062,24 Hours DDoS Service
cjjr52a563dt30794kkwoel7d,0day bug in osCommerece,1,cti,1.53E+12,1.778,1451779180,osCommerce 0day
cjjr528zi0zd10796rn3aql8e,Stolen fresh from hacked sites For exclusive sale contact me,1,cti,1.53E+12,1.753,1451600975,Pharmacy Customer Database 50K emails etc
cjjr528fk0zch0796iuggyw36,100 Fully Undetectable js file for download and execute just attach to an email send to target and wait for them to open Icon of js files look like a letter so everyone with low technical understanding will open this for sure and then they get infected with your rat exe You can ask for demo in PM but that is why you have escrow Please provide a DIRECT url to exe while ordering,1,cti,1.53E+12,1.622,1451601063,FUD js download and execute
cjjr526hn0zbl0796v15od3ay,Exploit was sold on a non exclusive basis Price has been reduced Reversed from http sys exploit includes ROP gadgets for Server 2008 and Server 2012 only I will also send you the research and reversing info from patch to diff to vuln comes with shellcode for a reverse cmd shell but this can obviously be changed Offering this for a limited amount of time only as I might already have client in real life Pay escrow to prove you have the funds then test the exploit and see for yourself as usual,1,cti,1.53E+12,137.081,1451601063,MS15 034 Microsoft IIS Remote Code Execution
cjjr4z8ap3dg80794u846r512,FUD Private exploit for CVE 2015 1650 Works on all versions of office from 2003 to 2013 On windows 8 and 10 only on office 2003 up to office 2010,1,cti,1.53E+12,13.138,1451601063,FUD MS WORD CVE 2015 1650
cjjr4z7r13dfm0794jz22s6dz,FUD MS OFFICE CVE 2015 1770 Windows xp to windows 7 Works on office 2003 up to office 2013 Windows 8 8 1 10 Works from office 2003 up to office 2010 Payload is embedded encrypted exe FUD and private not the shit from HF,1,cti,1.53E+12,1.238,1451601063,FUD MS OFFICE CVE 2015 1770
cjjr4z7gm3dfd0794i85ndqfa,Execute commands upload a bot on to a large amount of specific router by brand name Exploit also comes with files for zmap for mass exploitation and also perl exploit for one time exploit and understanding of the bug Bots must be compiled in MIPS and over 250 000 vuln routers in china,1,cti,1.53E+12,24.458,1451601063,Specific router brand RCE over UDP
cjjr4ydux0ylp0796uc5nejde,From my personal stock selling here since my real life client is a fucking idiot who takes too long to do anything Tested on all versions only exception is Windows 8 1 and Windows 10 which it cannot work will crash Full escrow no time wasting please,1,cti,1.53E+12,4.512,1451601063,Fresh 0day MS Office
cjjr4yaaw3dav0794sc6lxh4i,custom,1,cti,1.53E+12,1.064,1453088589,5k wp logins
cjjr4y9jw0yk80796g9bmnuqc,For the shell on ncsoft,1,cti,1.53E+12,2.553,1451779178,Custom listing 5k
cjjr4y7u63da007943n93qrr9,I will give you all the source code to build your own DDoS service fully automated payment system and also how to make a 1GBPS server send out 60 GBPS Just like TheRealDeal s ddos service which makes over 8k per month in profits,1,cti,1.53E+12,9.105,1452633548,Stresser soruce codes Tutorial
cjjr4y0kw0yhj0796vprrl0uo,fuck this is cheap,0,cti,1.53E+12,2.444,1452720671,custom
cjjr4xym30ygm079643eyko08,custom for nicolas,0,cti,1.53E+12,1.85,1458362044,wordpress logins
cjjr4xxbf0yg70796shxxe4b1,Blue Dream a sativa dominant hybrid originating in California has achieved legendary status among West Coast strains Crossing a Blueberry indica with the sativa Haze Blue Dream balances full body relaxation with gentle cerebral invigoration Novice and veteran consumers alike enjoy the level effects of Blue Dream which ease you gently into a calm euphoria Some Blue Dream phenotypes express a more indica like look and feel but the sativa leaning variety remains most prevalent With a sweet berry aroma redolent of its Blueberry parent Blue Dream delivers swift symptom relief without heavy sedative effects This makes Blue Dream a popular daytime medicine for patients treating pain depression nausea and other ailments requiring a high THC strain Typical Effect Full body relaxation with gentle cerebral invigoration easing you gently into bliss Strain Testing THC 24 05 CBD 0 01,0,cti,1.53E+12,1.824,1451601059,1oz Blue Dream Indica Sativa Hybrid Free Shipping
cjjr4xvse0yfl0796vnze1430,This cartridge is factory direct Absolute Extracts Cherry Pie Cherry Pie s parents are Granddaddy Purple and Durban Poison Sourced from local sustainably grown California cannabis This cannabis oil is extracted in a PFC certified lab using a supercritical CO2 method Lab tested to verify cannabinoid and terpene profiles Lab tested for mold bacteria and pesticide residues No additives Ingredients 500mg supercritical CO2 extracted high THC cannabis oil,0,cti,1.53E+12,2.454,1451601059,500mg Cherry Pie Premium THC Vape Cartrige
cjjr4xtvc0yes0796dj7wwf2z,0 5g of 2C B in powder form shipped from the Netherlands to most worldwide destinations restrictions detailed on the profile page,0,cti,1.53E+12,0.903,1452119651,2C B 1g
cjjr4xt9k3d6v07949rfyqjlg,5 tabs of LSD each tab contains a dose of 100 circles artwork blotters Shipped from the Netherlands to most worldwide destinations other restrictions detailed on the profile page,0,cti,1.53E+12,0.776,1452119651,Blotters of LSD x5
cjjr4xsua0ye30796t0idqnlv,These pills are orange stamp description on demand each tab contains 150mg of mdma Shipped from the Netherlands to most worldwide destinations except Russia Denmark other restrictions detailed on the profile page,0,cti,1.53E+12,3.921,1452119651,Pills MDMA 150mg x10
cjjr4xp4p3d5r0794i85fw012,50 gram of mdma in crystal form of good quality shipped from the Netherlands to most worldwide destinations restrictions detailed on the profile page,0,cti,1.53E+12,0.665,1453001418,MDMA Crystal 50g
cjjr4xoou3d5h0794ckwwpwm5,25 gram of mdma in crystal form of good quality shipped from the Netherlands to most worldwide destinations restrictions detailed on the profile page,0,cti,1.53E+12,0.786,1452273879,MDMA Crystal 25g
cjjr4xo2s0ybo0796at9a7ycj,10 gram of mdma in crystal form of good quality shipped from the Netherlands to most worldwide destinations restrictions detailed on the profile page,0,cti,1.53E+12,0.719,1452273879,MDMA Crystal 10g
cjjr4xnqw0ybf0796sohd5lt0,5 gram of mdma in crystal form of good quality shipped from the Netherlands to most worldwide destinations restrictions detailed on the profile page,0,cti,1.53E+12,1.009,1452273879,MDMA Crystal 5g
cjjr4xmpv0yal0796glnm1ka7,25 tabs of LSD each tab contains a dose of 100 circles artwork blotters Shipped from the Netherlands to most worldwide destinations other restrictions detailed on the profile page,0,cti,1.53E+12,1.333,1452119651,Blotters of LSD x25
cjjr4xlql3d4j0794akkunb1f,50 tabs of LSD each tab contains a dose of 100 circles artwork blotters Shipped from the Netherlands to most worldwide destinations other restrictions detailed on the profile page,0,cti,1.53E+12,3.381,1452119651,Blotters of LSD x50
cjjr4xjg80y9g0796sur2qyq6,10 tabs of LSD each tab contains a dose of 100 circles artwork blotters Shipped from the Netherlands to most worldwide destinations other restrictions detailed on the profile page,0,cti,1.53E+12,2.829,1452119651,Blotters of LSD x10
cjjr4xh1i0y8l0796mue7xjb5,28 0g Crystal Meth Glass Strong Euphoric If you need to finish that project or pull an all nighter to prepare for a test or get your homework done this will help you get through the night morning and afternoon But we must warn you If you already have your sexual partner around you re in good shape If not you may end up watching a porn marathon and get nothing done Please read our guidelines found on our profile page AlphaBay forum and below Failure to do so may cause delays and or we may cancel your order as well as cease doing business with you Our Grams Link http grams7enufi7jmdl onion vendor aeirla aeirla v7 0 01 11 16 Namaste AlphaBay Life is Beautiful Admire It Life is a Struggle Accept it Life is a Promise Fulfill it Life is a Duty Complete it Life is a Adventure Dare It Life is Life Live it unknown Your safety security and freedom are important to us To achieve this We must insist on the use of PGP Encryption Please understand how to use this critical tool and have a PGP Public Key uploaded to your profile because we will no longer accept orders from those who don t Messages received in plain text will be immediately deleted without being answered We feel that LE does not use encryption because they want us to incriminate ourselves We treat messages received in plain text as a security breach and that person must be LE A second message sent in plain text will be deleted and client will be blacklisted from future purchases Please import our Public Key and examine it s format and make note of our back up email is case there are any issues with the marketplace Our most important request is that your AlphaBay user name matches the user name or the email on your key A Username or email on your key must match your AlphaBay Username B 4096 is our preferred key length 2048 is the minimum C RSA RSA Algorithm When complete your key should look like this ABusername ABusername usernamefakeemail com 4096 4096 This is not just for your safety but ours so we want to thank you in advance for helping us keep everyone safe Shipping Handling We process and discretely ship orders Monday Friday Processing time for orders received on weekends or holidays BEGINS the following business day Cut Off for Express orders 16 20 PST Monday Thursday for orders to be shipped out the following business day Express orders submitted between 16 20 PST Thursday and 16 20 PST Sunday will be processed and shipped the following Monday When we marked your order Shipped it may still be in our possession but will be dropped off very soon We cannot guarantee the exact timetable for delivery of your parcel once it leaves our possession We do not give out tracking information for your own protection but will be happy to provide the information once the package has been delivered or if it has been lost in transit Please don t contact asking about your order until 4 days after we marked shipped not including weekends or holidays Unless it s an emergency at which you should write EMERGENCY on the subject line please give the carrier a chance to make the delivery 72hr Processing w Priority Service 10 Orders are processed shipped out within 72 hours of placing order 48hr Processing w Express Service 35 Orders are processed shipped out within 48 hours of placing order 24hr Processing w Express Service 100 Orders are processed shipped out within 24 hours of placing order We are not responsible for your parcel if it is lost or stolen This is why we stress the importance of having a secure and safe shipping destination PLEASE BE SURE you have the complete and correct name and address Go to unitedstateszipcodes org and enter your address to get the 9 digit zip code and to confirm that it is a valid address Please do your due diligence Thank you for your patronage and the energy you ve devoted to keeping everybody safe White House c o Future President 1600 PENNSYLVANIA AVE NW RM 420 WEST WING WASHINGTON DC 11420 2269 Shipping is Unavailable Weekends and Holidays August 15 September 10 December 10 January 10 Once you receive your package we ask that you destroy and dispose of all shipping material immediately We are delighted to serve the community High Quality consumables and hope you enjoy our gift to you Mahalo aeirla,0,cti,1.53E+12,2.598,1455114967,Crystal Meth Shards 28 0g Fire Ice D280
